[aaudio.hw_burst_min_usec]: [2000]
[persist.sys.logsystem.protohint]: [0]
[persist.sys.mcc_match_fyrom]: [,]
[persist.sys.media_uid]: [10111]
[persist.sys.module_version_display]: [0290000000]
[persist.sys.module_version_real]: [0290000000]
[persist.sys.msc.debug.on]: [0]
[persist.sys.navigationbar.mode]: [0]
[persist.sys.network_mcc]: []
[persist.sys.network_mnc]: []
[persist.sys.nvcfg_file0]: [CMCC_CN]
[persist.sys.nvcfg_file_version0]: []
[persist.sys.opkey0]: []
[persist.sys.opkey1]: []
[persist.sys.opname0]: [NULL]
[persist.sys.opname1]: [NULL]
[persist.sys.opname_ap0]: [CMCC_CN]
[persist.sys.performance]: [true]
[persist.sys.powerup_reason]: [NORMAL]
[persist.sys.pre_data_sub_autoreg]: [0]
[persist.sys.pre_data_sub_ueinfo]: [0]
[persist.sys.pre_volte_sub0_state]: [2]
[persist.sys.pre_volte_sub0_state_autoreg]: [2]
[persist.sys.pre_volte_sub1_state]: [1]
[persist.sys.predns]: [true]
[persist.sys.realdpi]: [360]
[persist.sys.rendercomposer.enable]: [false]
[persist.sys.rog.currentratio]: [1.0]
[persist.sys.rog.height]: [1600]
[persist.sys.rog.width]: [720]
[persist.sys.root.status]: [0]
[persist.sys.screen_soft_rank]: [false]
[persist.sys.sf.color_mode]: [7]
[persist.sys.sf.color_saturation]: [1.0]
[persist.sys.show_incallscreen]: [0]
[persist.sys.smart_switch_enable]: [true]
[persist.sys.srms.enable]: [true]
[persist.sys.timezone]: [Asia/Shanghai]
[persist.sys.uninstallapk]: [1]
[persist.sys.usb.config]: [hisuite,mtp,mass_storage,adb]
[persist.sys.version]: [500012]
[persist.sys.version_update0]: [false]
[persist.sys.version_update1]: [false]
[persist.sys.volume.ringIndex]: [0]
[persist.sys.wfd.virtual]: [0]
[persist.traced.enable]: [1]
[persist.vendor.camera.numearlypcr]: [0]
[persist.vendor.dpm.idletimer.mode]: [default]
[pm.dexopt.ab-ota]: [speed-profile]
[pm.dexopt.bg-dexopt]: [speed-profile]
[pm.dexopt.boot-after-ota]: [verify]
[pm.dexopt.cmdline]: [verify]
[pm.dexopt.first-boot]: [verify]
[pm.dexopt.inactive]: [verify]
[pm.dexopt.install]: [speed-profile]
[pm.dexopt.install-bulk]: [speed-profile]
[pm.dexopt.install-bulk-downgraded]: [verify]
[pm.dexopt.install-bulk-secondary]: [verify]
[pm.dexopt.install-bulk-secondary-downgraded]: [extract]
[pm.dexopt.install-fast]: [skip]
[pm.dexopt.post-boot]: [extract]
[pm.dexopt.shared]: [speed]
[ril.ecclist]: [911,122,112,000,110,08,999,120,119,118]
[ril.ecclist1]: [911,112,000,119,118,110,08,999]
[ro.SignalStrength.ValidateInput]: [true]
[ro.actionable_compatible_property.enabled]: [true]
[ro.adb.btstatus]: [valid]
[ro.adb.secure]: [1]
[ro.alipay.channel.path]: [/preload/VNE-AN00/all/cn/xml/rongyao_alipay_antibrush]
[ro.allow.mock.location]: [0]
[ro.apex.updatable]: [true]
[ro.baseband]: [msm]
[ro.blight.exempt_app_type]: [-1,1,5,8,16,24]
[ro.board.boardid]: [8224]
[ro.board.hardware_version]: [HN2VNEM]
[ro.board.platform]: [holi]
[ro.boot.avb_version]: [1.2]
[ro.boot.baseband]: [msm]
[ro.boot.boot_devices]: [soc/4804000.ufshc]
[ro.boot.bootdevice]: [4804000.ufshc]
[ro.boot.camera_product]: [VNE_SINGLE]
[ro.boot.dtb_idx]: [1]
[ro.boot.dtbo_idx]: [12]
[ro.boot.dynamic_partitions]: [true]
[ro.boot.flash.locked]: [1]
[ro.boot.force_normal_boot]: [1]
[ro.boot.fstab_suffix]: [default]
[ro.boot.hardware]: [qcom]
[ro.boot.hwsim]: [double]
[ro.boot.keymaster]: [1]
[ro.boot.localproppath]: [all/cn]
[ro.boot.memcg]: [1]
[ro.boot.product.hardware.sku]: [VNE-AN00]
[ro.boot.selinux]: [enforcing]
[ro.boot.serialno]: [A6QUNU2503407787]
[ro.boot.slot_suffix]: [_b]
[ro.boot.usbcontroller]: [4e00000.dwc3]
[ro.boot.vbmeta.avb_version]: [1.0]
[ro.boot.vbmeta.device_state]: [locked]
[ro.boot.vbmeta.digest]: [250a211bc9e1a0425b1f267cd0168b33d3c5e58fc78c3b12af54a6024e7205bf]
[ro.boot.vbmeta.hash_alg]: [sha256]
[ro.boot.vbmeta.invalidate_on_error]: [yes]
[ro.boot.vbmeta.size]: [34752]
[ro.boot.verifiedbootstate]: [green]
[ro.boot.veritymode]: [enforcing]
[ro.bootimage.build.date]: [Fri Oct 13 11:04:58 CST 2023]
[ro.bootimage.build.date.utc]: [1697166298]
[ro.bootimage.build.fingerprint]: [qti/holi/holi:11/RKQ1.210907.001/root202310131104:user/dev-keys]
[ro.bootloader]: [unknown]
[ro.bootmode]: [unknown]
[ro.build.ab_update]: [true]
[ro.build.characteristics]: [default]
[ro.build.date]: [Wed Oct 11 11:29:32 CST 2023]
[ro.build.date.utc]: [1696994972]
[ro.build.description]: [VNE-AN00-user 6.1.0 HONORVNE-AN00 152-CHN-LGRP1 release-keys]
[ro.build.display.id]: [VNE-AN00 6.1.0.152(C00E145R1P4)]
[ro.build.enhanced_gk_rule]: [true]
[ro.build.fingerprint]: [HONOR/VNE-AN00/HNVNE-Q:12/HONORVNE-AN00/6.1.0.152C00:user/release-keys]
[ro.build.flavor]: [magic-user]
[ro.build.hide]: [false]
[ro.build.hide.matchers]: [5.0]
[ro.build.hide.replacements]: [2.1]
[ro.build.hide.settings]: [8;1.8 GHz;2.0GB;11.00 GB;16.00 GB;1920 x 1080;7.0;3.10.30;3.1]
[ro.build.host]: [cn-snxy1c-43b364f871696994486824-8597b58c8d-f5t5h]
[ro.build.hw_emui_api_level]: [34]
[ro.build.hw_emui_lite.enable]: [true]
[ro.build.id]: [HONORVNE-AN00]
[ro.build.keys]: []
[ro.build.magic_api_level]: [34]
[ro.build.magic_lite.enable]: [true]
[ro.build.product]: [VNE]
[ro.build.tags]: [release-keys]
[ro.build.type]: [user]
[ro.build.update_version]: [V1_2]
[ro.build.user]: [test]
[ro.build.ver.physical]: [VNE-AN00 6.1.0.152(C00E145R1P4)]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.emui]: [MagicUI_6.1.0]
[ro.build.version.incremental]: [6.1.0.152C00]
[ro.build.version.magic]: [MagicUI_6.1.0]
[ro.build.version.min_supported_target_sdk]: [23]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.preview_sdk_fingerprint]: [REL]
[ro.build.version.release]: [12]
[ro.build.version.release_or_codename]: [12]
[ro.build.version.sdk]: [31]
[ro.build.version.security_patch]: [2023-10-01]
[ro.camera.aux.packagelist]: [com.hihonor.camera,com.hihonor.mmitest,org.codeaurora.snapcam,com.hihonor.ddtTest,com.hihonor.detectrepair,com.hihonor.runningtestii,com.hihonor.mmiautotest,com.hihonor.systemserver,com.hihonor.awareness,com.hihonor.powergenie,com.hihonor.securityserver,com.android.server.swing]
[ro.camera.sound.not_forced]: [true]
[ro.carrier]: [unknown]
[ro.cdma.home.operator.numeric]: [46003]
[ro.channel.cn.wps.moffice_eng]: [oem00176]
[ro.channel.com.baidu.BaiduMap]: [hNdzVLM5X9k36tUvLQOzE8lSresga-qvz]
[ro.channel.com.sina.weibo]: [90279_90004]
[ro.channel.com.sohu.newsclient]: [7092]
[ro.channel.com.taobao.litetao]: [honor_preload]
[ro.channel.pdd]: [pre_honor]
[ro.channelId.com.smile.gifmaker]: [HONOR_YZ_2022]
[ro.channelId.com.wuba]: [4921]
[ro.channelId.taobao]: [/preload/VNE-AN00/all/cn/xml/sjtbconfig.ini]
[ro.channelid.ucbrowser]: [/preload/VNE-AN00/all/cn/xml/uconfig.ini]
[ro.channelid.youku]: [1606729129557]
[ro.com.baidu.searchbox]: [/preload/VNE-AN00/all/cn/lib64/]
[ro.com.ss.android.ugc.aweme]: [/preload/VNE-AN00/all/cn/xml/huawei_aweme_400_pre_install.config]
[ro.com.ximalaya.ting.android.yz-rongyao]: [yz-rongyao]
[ro.comp.cust_version]: [Cust-CHN 6.X.1(0000)]
[ro.comp.hl.product_base_version]: [VNE-LGRP1-CHN 6.1.0.152]
[ro.comp.hl.product_cust_version]: [VNE-AN00-CUST 6.1.0.145(C00)]
[ro.comp.hl.product_preload_version]: [VNE-AN00-PRELOAD 6.1.0.4(C00R1)]
[ro.comp.preas_version]: [Preas-CHN 6.X(0001)]
[ro.comp.preas_version.full]: [Preas-CHN 6.X(S)]
[ro.comp.product_version]: [Product-VNE 6.X(0000)]
[ro.comp.system_version]: [System 6.1.0(0KIF)]
[ro.comp.version_version]: [Version-VNE-AN00-000001 6.X(0082)]
[ro.confg.hw_systemversion]: [System 6.1.0(0KIF)]
[ro.config.StkDisplayTexNoRes]: [true]
[ro.config.alarm_alert]: [Morning_Star.ogg]
[ro.config.amr_wb_show_hd]: [true]
[ro.config.app_big_icon_size]: [128]
[ro.config.attach_apn_enabled]: [true]
[ro.config.attach_ip_type]: [IPV4V6]
[ro.config.audioEffectForRing]: [true]
[ro.config.auto_display_mode]: [true]
[ro.config.beta_sec_ctrl]: [false]
[ro.config.blight_power_curve]: [50,1;100,0.8;300,0.8;350,0.9;380,1]
[ro.config.bt_a2dp_disabled_enc]: [5]
[ro.config.bundle_optb_mnc]: [306]
[ro.config.charging_close_nr]: [true]
[ro.config.cl_volte_autoswitch]: [true]
[ro.config.colorTemperature_3d]: [true]
[ro.config.colorTemperature_K3]: [true]
[ro.config.cpu_info_display]: [高通骁龙480 Plus]
[ro.config.data_preinstalled]: [true]
[ro.config.dataoff_timeout]: [5]
[ro.config.demo_allow_pwd]: [false]
[ro.config.detect_sd_disable]: [false]
[ro.config.disable_operator_name]: [true]
[ro.config.disable_reset_by_mdm]: [true]
[ro.config.disable_triple]: [true]
[ro.config.distributed_app_fwk]: [true]
[ro.config.dns.two_threads]: [true]
[ro.config.dnscure_ipcfg]: [10.8.2.1;10.8.2.2|8.8.8.8;208.67.222.222;180.76.76.76;223.5.5.5]
[ro.config.dsds_mode]: [cdma_gsm]
[ro.config.dual_view_mode]: [true]
[ro.config.empty.package]: [true]
[ro.config.enable_backup_fc_2d]: [true]
[ro.config.enable_iaware]: [true]
[ro.config.enable_perfhub_fling]: [true]
[ro.config.enable_rms]: [true]
[ro.config.enable_show_google_feed]: [false]
[ro.config.enable_thermal_bdata]: [true]
[ro.config.enterprise_support]: [true]
[ro.config.evdo_dropto_1x]: [true]
[ro.config.face_disable_cap]: [20]
[ro.config.face_disable_temp]: [-100]
[ro.config.face_recognition]: [true]
[ro.config.feature_power_close_nr]: [true]
[ro.config.feature_screenoff_close_nr]: [true]
[ro.config.finger_joint]: [true]
[ro.config.fp_navigation]: [true]
[ro.config.fp_notice_face]: [true]
[ro.config.full_network_support]: [true]
[ro.config.gameassist]: [1]
[ro.config.gameassist.anti-touch]: [1]
[ro.config.gameassist.full-finger]: [2]
[ro.config.gameassist_booster]: [1]
[ro.config.gameassist_soundtovibrate]: [0]
[ro.config.gesture_nav_support]: [true]
[ro.config.gps_to_nlp]: [true]
[ro.config.hiai.translation_engine.full_feature]: [0]
[ro.config.hiaibase_push_mode]: [1]
[ro.config.hicall]: [true]
[ro.config.hn_em_solution_ver]: [B001]
[ro.config.huawei_smallwindow]: [0]
[ro.config.hw_cota]: [false]
[ro.config.hw_dts_settings]: [true]
[ro.config.hw_freeform_enable]: [true]
[ro.config.hw_lite_story_enable]: [true]
[ro.config.hw_low_ram]: [false]
[ro.config.hw_multiscreen]: [true]
[ro.config.hw_multiwindow_optimization]: [true]
[ro.config.hw_nlp]: [com.huawei.lbs]
[ro.config.hw_optb]: [156]
[ro.config.hw_power_voice_key]: [true]
[ro.config.hw_support_clone_app]: [true]
[ro.config.hw_sws]: [true]
[ro.config.hw_tint]: [true]
[ro.config.hw_triple_finger]: [true]
[ro.config.hw_vassistant_honor]: [true]
[ro.config.ipv4.mtu]: [1400]
[ro.config.linkplus.liveupdate]: [true]
[ro.config.lock_noti_simplify]: [true]
[ro.config.low_temp_tsh]: [0]
[ro.config.marketing_name]: [荣耀畅玩30]
[ro.config.need_tailored]: [true]
[ro.config.networkmode_hide_dyn]: [true]
[ro.config.new_hw_screen_aspect]: [1600:1520:0720]
[ro.config.noti_list_simplify]: [true]
[ro.config.notification_sound]: [Pixies.ogg]
[ro.config.para_updateCapacityVersion]: [1.0]
[ro.config.permanent_error_heal]: [true]
[ro.config.pre_dns_query]: [true]
[ro.config.privacycontact]: [false]
[ro.config.product_version_pre]: [VNE-AN00]
[ro.config.quicknote]: [true]
[ro.config.reduce_voice]: [false]
[ro.config.ringtone]: [Go_Beyond_Marimba.ogg]
[ro.config.ringtone2]: [Go_Beyond_Traditional.ogg]
[ro.config.screenoff_close_nr_timer]: [10000]
[ro.config.sn_main_page]: [true]
[ro.config.streamEffect]: [28]
[ro.config.support_doubletap_pay]: [true]
[ro.config.support_eid]: [false]
[ro.config.support_etcis]: [true]
[ro.config.support_face_mode]: [2]
[ro.config.support_facepay_mode]: [0]
[ro.config.support_hwpki]: [true]
[ro.config.support_iseapp]: [true]
[ro.config.support_one_time_hota]: [true]
[ro.config.support_privacyspace]: [true]
[ro.config.support_sdcard_crypt]: [false]
[ro.config.switchPrimaryVolume]: [true]
[ro.config.swsAlwaysActiveForSPK]: [true]
[ro.config.sws_version]: [0610]
[ro.config.txvideoid]: [/preload/VNE-AN00/all/cn/xml/firmchannel.ini]
[ro.config.updatelocation]: [true]
[ro.config.use_passwd_length_rule]: [true]
[ro.config.vc_call_vol_steps]: [10]
[ro.config.weakauth_face_limit]: [false]
[ro.config.widevine_level3]: [true]
[ro.config.wifi_fast_bss_enable]: [true]
[ro.control.sleeplog]: [true]
[ro.control_privapp_permissions]: [enforce]
[ro.crypto.dm_default_key.options_format.version]: [2]
[ro.crypto.metadata.enabled]: [true]
[ro.crypto.state]: [encrypted]
[ro.crypto.type]: [file]
[ro.crypto.uses_fs_ioc_add_encryption_key]: [true]
[ro.crypto.volume.metadata.method]: [dm-default-key]
[ro.cust.cdrom]: [product_h/region_comm/china/cdrom/autorun.iso]
[ro.dalvik.vm.native.bridge]: [0]
[ro.debuggable]: [0]
[ro.dual.sim.phone]: [true]
[ro.feature.animation.style]: [simple]
[ro.feature.calendar.map]: [false]
[ro.feature.calendar.permanentcalendar]: [false]
[ro.feature.contacts.favorite]: [false]
[ro.feature.contacts.smartgroup]: [true]
[ro.feature.dfr.appeye]: [false]
[ro.feature.dfr.erecovery]: [false]
[ro.feature.email.ai_translation]: [false]
[ro.feature.email.group]: [false]
[ro.feature.email.smime]: [true]
[ro.feature.gallery.lite_animation_disable]: [true]
[ro.feature.gallery.photomore_enable]: [false]
[ro.feature.gallery.selected_photos_enable]: [false]
[ro.feature.intelligence.level]: [Lite]
[ro.feature.notepad.location_reminder]: [false]
[ro.feature.notepad.shortcut_lite]: [false]
[ro.feature.notification_badge_combine_switch]: [true]
[ro.feature.systemui.blur_wallpaper]: [false]
[ro.feature.wms.singlemode]: [true]
[ro.frp.pst]: [/dev/block/bootdevice/by-name/frp]
[ro.gallery.thumbnailLoading]: [true]
[ro.gpu_turbo]: [GPU Turbo]
[ro.gsensor.calibrate]: [true]
[ro.hardware]: [qcom]
[ro.hardware.egl]: [adreno]
[ro.hardware.vulkan]: [adreno]
[ro.honor.build.date]: [Wed Oct 11 11:29:32 CST 2023]
[ro.honor.build.date.utc]: [1696994972]
[ro.honor.build.display.id]: [VNE-AN00 6.1.0.152(C00E145R1P4)]
[ro.honor.build.fingerprint]: [HONOR/VNE-AN00/HNVNE-Q:12/HONORVNE-AN00/6.1.0.152C00:user/release-keys]
[ro.honor.build.host]: [cn-snxy1c-43b364f871696994486824-8597b58c8d-f5t5h]
[ro.honor.build.version.security_patch]: []
[ro.honor.remount.check]: [0]
[ro.huawei.cust.oma_drm]: [false]
[ro.hw.country]: [cn]
[ro.hw.custPath]: [/version/cust/all/cn]
[ro.hw.oemName]: [VNE-AN00]
[ro.hw.vendor]: [all]
[ro.hwui.use_vulkan]: []
[ro.iconnect.trustpair]: [true]
[ro.iorapd.enable]: [false]
[ro.kernel.qemu.gles]: [0]
[ro.kernel.version]: [5.4]
[ro.launcher.icon_size_narrow]: [118]
[ro.lmk.kill_heaviest_task]: [true]
[ro.lmk.kill_timeout_ms]: [15]
[ro.lmk.use_minfree_levels]: [true]
[ro.lmk.use_psi]: [true]
[ro.logd.kernel]: [false]
[ro.logd.size.stats]: [64K]
[ro.logsystem.usertype]: [1]
[ro.lostnetwork.default_timer]: [50]
[ro.magic.cversion]: [C00]
[ro.magic.systemversion]: [System 6.1.0(0KIF)]
[ro.media.xml_variant.codecs]: [_holi]
[ro.media.xml_variant.codecs_performance]: [_holi]
[ro.media.xml_variant.profiles]: [_V1_0_single]
[ro.oba.version]: [20231013111109_OBA_VERSION]
[ro.odm.build.date.utc]: [1697166298]
[ro.odm.build.fingerprint]: [Honor/holi/holi_VNE-AN00:12/RKQ1.210907.001/20231013110555:user/release-keys]
[ro.oem.key1]: [C00R1]
[ro.opengles.version]: [196610]
[ro.organization_owned]: [false]
[ro.patch.baseline.version]: [2.0]
[ro.patchversion]: [patch01]
[ro.pid.youku]: [2c9039d804756637]
[ro.postinstall.fstab.prefix]: [/system]
[ro.powersavemode.backlight_ratio]: [80]
[ro.preinstall.path]: [preload/VNE-AN00/all/cn/xml]
[ro.product.CustCVersion]: [C00]
[ro.product.ab_ota_partitions]: [system,system_ext,product_h,vbmeta_system]
[ro.product.board]: [holi]
[ro.product.brand]: [HONOR]
[ro.product.build.date]: [Wed Oct 11 11:59:34 CST 2023]
[ro.product.build.date.utc]: [1696996774]
[ro.product.build.fingerprint]: [Honor/system_ext_qcom/system_ext_qcom:12/SP1A.210812.016/root10111159:user/release-keys]
[ro.product.build.id]: [SP1A.210812.016]
[ro.product.build.tags]: [release-keys]
[ro.product.build.type]: [user]
[ro.product.build.version.incremental]: [eng.root.20231011.115626]
[ro.product.build.version.release]: [12]
[ro.product.build.version.release_or_codename]: [12]
[ro.product.build.version.sdk]: [31]
[ro.product.cpu.abi]: [arm64-v8a]
[ro.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: [arm64-v8a]
[ro.product.device]: [HNVNE-Q]
[ro.product.fingerprintName]: [HONOR-Z205]
[ro.product.first_api_level]: [30]
[ro.product.locale]: [zh-Hans-CN]
[ro.product.locale.language]: [zh]
[ro.product.locale.region]: [CN]
[ro.product.manufacturer]: [HONOR]
[ro.product.model]: [VNE-AN00]
[ro.product.name]: [VNE-AN00]
[ro.product.odm.brand]: [Honor]
[ro.product.odm.device]: [holi]
[ro.product.odm.name]: [holi]
[ro.product.perfmode]: [true]
[ro.product.product.brand]: [Honor]
[ro.product.product.device]: [system_ext_qcom]
[ro.product.product.manufacturer]: [unknown]
[ro.product.product.model]: [magic]
[ro.product.product.name]: [system_ext_qcom]
[ro.product.system.brand]: [Honor]
[ro.product.system.device]: [magic]
[ro.product.system.manufacturer]: [unknown]
[ro.product.system.model]: [magic]
[ro.product.system.name]: [magic]
[ro.product.system_ext.brand]: [Honor]
[ro.product.system_ext.device]: [system_ext_qcom]
[ro.product.system_ext.manufacturer]: [unknown]
[ro.product.system_ext.model]: [magic]
[ro.product.system_ext.name]: [system_ext_qcom]
[ro.product.vendor.brand]: [qti]
[ro.product.vendor.device]: [holi]
[ro.product.vendor.manufacturer]: [HONOR]
[ro.product.vendor.model]: [Holi for arm64]
[ro.product.vendor.name]: [holi]
[ro.product.vndk.version]: [31]
[ro.projectmenu.chargemaxlevel]: [60]
[ro.projectmenu.chargeminlevel]: [50]
[ro.property_service.version]: [2]
[ro.readfastboot]: [0]
[ro.revision]: [0]
[ro.ril.ecclist]: [112,911,#911,*911]
[ro.runmode]: [normal]
[ro.secure]: [1]
[ro.serialno]: [A6QUNU2503407787]
[ro.setupwizard.mode]: [DISABLED]
[ro.sf.lcd_density]: [320]
[ro.soc.manufacturer]: [QTI]
[ro.soc.model]: [SM4350]
[ro.surface_flinger.force_hwc_copy_for_virtual_displays]: [true]
[ro.surface_flinger.has_HDR_display]: [false]
[ro.surface_flinger.has_wide_color_display]: [false]
[ro.surface_flinger.max_frame_buffer_acquired_buffers]: [3]
[ro.surface_flinger.max_virtual_display_dimension]: [4096]
[ro.surface_flinger.protected_contents]: [true]
[ro.surface_flinger.set_touch_timer_ms]: [200]
[ro.surface_flinger.use_color_management]: [true]
[ro.surface_flinger.use_content_detection_for_refresh_rate]: [true]
[ro.surface_flinger.wcg_composition_dataspace]: [143261696]
[ro.sys.ping_bf_dorecovery]: [true]
[ro.sys.powerup_reason]: [NORMAL]
[ro.syssvccallrecord.enable]: [true]
[ro.system.build.date]: [Wed Oct 11 11:29:32 CST 2023]
[ro.system.build.date.utc]: [1696994972]
[ro.system.build.fingerprint]: [Honor/magic/magic:12/SP1A.210812.016/root10111129:user/release-keys]
[ro.system.build.id]: [SP1A.210812.016]
[ro.system.build.tags]: [release-keys]
[ro.system.build.type]: [user]
[ro.system.build.version.incremental]: [eng.root.20231011.113103]
[ro.system.build.version.release]: [12]
[ro.system.build.version.release_or_codename]: [12]
[ro.system.build.version.sdk]: [31]
[ro.system.final_release]: [true]
[ro.system.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.system.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.system.product.cpu.abilist64]: [arm64-v8a]
[ro.system_ext.build.date]: [Wed Oct 11 11:59:34 CST 2023]
[ro.system_ext.build.date.utc]: [1696996774]
[ro.system_ext.build.fingerprint]: [Honor/system_ext_qcom/system_ext_qcom:12/SP1A.210812.016/root10111159:user/release-keys]
[ro.system_ext.build.id]: [SP1A.210812.016]
[ro.system_ext.build.tags]: [release-keys]
[ro.system_ext.build.type]: [user]
[ro.system_ext.build.version.incremental]: [eng.root.20231011.115626]
[ro.system_ext.build.version.release]: [12]
[ro.system_ext.build.version.release_or_codename]: [12]
[ro.system_ext.build.version.sdk]: [31]
[ro.sysui.renderthread_timeout]: [5000]
[ro.sysui.signal.layout]: [signal_unit_uct_view]
[ro.telephony.call_ring.multiple]: [false]
[ro.telephony.default_network]: [69]
[ro.telephony.ril_class]: [HwQualcommRIL]
[ro.tencentnews.oem.fix.channel]: [/preload/VNE-AN00/all/cn/xml/newsoem]
[ro.treble.enabled]: [true]
[ro.vendor.build.date]: [Fri Oct 13 11:04:58 CST 2023]
[ro.vendor.build.date.utc]: [1697166298]
[ro.vendor.build.fingerprint]: [qti/holi/holi:11/RKQ1.210907.001/root202310131104:user/dev-keys]
[ro.vendor.build.id]: [RKQ1.210907.001]
[ro.vendor.build.security_patch]: [2018-06-19]
[ro.vendor.build.tags]: [release-keys]
[ro.vendor.build.type]: [user]
[ro.vendor.build.version.incremental]: [20231013110555]
[ro.vendor.build.version.release]: [11]
[ro.vendor.build.version.release_or_codename]: [11]
[ro.vendor.build.version.sdk]: [30]
[ro.vendor.perf.scroll_opt]: [1]
[ro.vendor.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.vendor.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.vendor.product.cpu.abilist64]: [arm64-v8a]
[ro.vendor.qti.va_aosp.support]: [1]
[ro.virtual_ab.compression.enabled]: [true]
[ro.virtual_ab.enabled]: [true]
[ro.vndk.version]: [30]
[ro.wifi.channels]: []
[ro.zygote]: [zygote64_32]
[security.perf_harden]: [1]
[selinux.restorecon_recursive]: [/data/misc_ce/0]
[service.bootanim.exit]: [1]
[service.bootanim.progress]: [0]
[service.bootanim.stop]: [1]
[service.sf.present_timestamp]: [1]
[sys.agp.init]: [1]
[sys.aps.maxDimRatio]: [50]
[sys.aps.minBrightDuration]: [70000]
[sys.aps.new_dynfps_upload]: [1]
[sys.aps.new_video_dyn_fps]: [2]
[sys.aps.power_mode]: [2]
[sys.aps.powermodefps]: [55]
[sys.aps.support]: [34178049]
[sys.aps.version]: [11.0.0.4]
[sys.aps.video_dynamic_fps]: [1]
[sys.boot.reason]: [reboot]
[sys.boot.reason.last]: [reboot]
[sys.boot_completed]: [1]
[sys.brain.predict_time_window.condition]: [1800]
[sys.brain.predict_time_window.total]: [600]
[sys.brain.predict_top_limit]: [5]
[sys.brain.prob_threshold]: [0.7]
[sys.defaultapn.enabled]: [true]
[sys.dubai.sece.enabled]: [false]
[sys.fuse.transcode_enabled]: [true]
[sys.hisi.pmom.service.enable]: [false]
[sys.hw_boot_success]: [1]
[sys.hyperhold.firstboot]: [0]
[sys.iaware.cpuset.screenoff.bg]: [0-5]
[sys.iaware.cpuset.screenoff.boost]: [0-7]
[sys.iaware.cpuset.screenoff.fg]: [0-7]
[sys.iaware.cpuset.screenoff.kbg]: [0-5]
[sys.iaware.cpuset.screenoff.sysbg]: [0-5]
[sys.iaware.cpuset.screenoff.taboost]: []
[sys.iaware.cpuset.screenoff.topapp]: [0-7]
[sys.iaware.cpuset.screenon.bg]: [4-5]
[sys.iaware.cpuset.screenon.boost]: [6-7]
[sys.iaware.cpuset.screenon.fg]: [0-7]
[sys.iaware.cpuset.screenon.kbg]: [0-5]
[sys.iaware.cpuset.screenon.sysbg]: [0-4]
[sys.iaware.cpuset.screenon.taboost]: [0-7]
[sys.iaware.cpuset.screenon.topapp]: [0-7]
[sys.iaware.eas.on]: [true]
[sys.iaware.empty_app_percent]: [67]
[sys.iaware.filteredType]: [28]
[sys.iaware.switch_set_success]: [true]
[sys.iaware.type]: [28]
[sys.init.perf_lsm_hooks]: [1]
[sys.logcontrol.status]: [S]
[sys.msc.iaware.started]: [true]
[sys.msc.pg.user_mode]: [unsleep]
[sys.msc.thermal.enable]: [true]
[sys.nvcfg_errorno0]: []
[sys.nvcfg_errorno1]: []
[sys.oem_unlock_allowed]: [0]
[sys.pg.nat_status]: [300000]
[sys.pg.pre_rescue_boot_count]: [1]
[sys.pxlw.iris.support]: [0]
[sys.qca1530]: [detect]
[sys.refresh.dirty]: [0]
[sys.rescue_boot_count]: [1]
[sys.resettype]: [abnormal:AP_S_PANIC]
[sys.sched.rtg.current]: [pid=3533;appType=28]
[sys.settingsprovider_ready]: [1]
[sys.show_google_nlp]: [false]
[sys.super_power_save]: [false]
[sys.sysctl.extra_free_kbytes]: [61440]
[sys.system_server.start_count]: [1]
[sys.system_server.start_elapsed]: [16125]
[sys.system_server.start_uptime]: [16125]
[sys.thermal.vr_fps]: [0]
[sys.thermal.vr_ratio_height]: [0]
[sys.thermal.vr_ratio_width]: [0]
[sys.thermal.vr_warning_level]: [0]
[sys.trigger_bms_heating]: [0]
[sys.update.state]: [true]
[sys.usb.config]: [hisuite,mtp,mass_storage,adb]
[sys.usb.configfs]: [1]
[sys.usb.controller]: [4e00000.dwc3]
[sys.usb.ffs_hdb.ready]: [0]
[sys.usb.mtp.device_type]: [3]
[sys.usb.set_default]: [true]
[sys.usb.state]: [hisuite,mtp,mass_storage,adb]
[sys.use_memfd]: [false]
[sys.user.0.ce_available]: [true]
[sys.vendor.shutdown.waittime]: [500]
[sys.wifitracing.started]: [1]
[telephony.lteOnCdmaDevice]: [1]
[vendor.gralloc.disable_ubwc]: [0]
[vendor.gralloc.secure_preview_buffer_format]: [420_sp]
[vendor.gralloc.secure_preview_only]: [1]
[vold.crypto_unencrypt_updatedir]: [/data/update]
[vold.cryptsd.keystate]: [lock]
[vold.has_adoptable]: [0]
[vold.has_compress]: [0]
[vold.has_quota]: [1]
[vold.has_reserved]: [1]
